timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1.52375E+12,83, /api/login/,200,OK,EventKit User 1-40,text,TRUE,,6206,140,40,40,81,0,32
1.52375E+12,83, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-40,,TRUE,,6206,140,40,40,81,0,32
1.52375E+12,158, /api/login/,200,OK,EventKit User 1-3,text,TRUE,,6202,140,40,40,156,0,53
1.52375E+12,139, /api/login/,200,OK,EventKit User 1-39,text,TRUE,,6204,140,40,40,137,0,34
1.52375E+12,139, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-39,,TRUE,,6204,140,40,40,137,0,34
1.52375E+12,158, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-3,,TRUE,,6202,140,40,40,156,0,53
1.52375E+12,150, /api/login/,200,OK,EventKit User 1-38,text,TRUE,,6206,140,40,40,148,0,34
1.52375E+12,150, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-38,,TRUE,,6206,140,40,40,148,0,34
1.52375E+12,222, /api/login/,200,OK,EventKit User 1-37,text,TRUE,,6202,140,40,40,221,0,35
1.52375E+12,222, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-37,,TRUE,,6202,140,40,40,221,0,35
1.52375E+12,295, /api/login/,200,OK,EventKit User 1-34,text,TRUE,,6206,140,40,40,293,0,40
1.52375E+12,295, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-34,,TRUE,,6206,140,40,40,293,2,40
1.52375E+12,322, /api/login/,200,OK,EventKit User 1-32,text,TRUE,,6206,140,40,40,320,0,42
1.52375E+12,322, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-32,,TRUE,,6206,140,40,40,320,0,42
1.52375E+12,344, /api/login/,200,OK,EventKit User 1-27,text,TRUE,,6204,140,40,40,342,0,47
1.52375E+12,344, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-27,,TRUE,,6204,140,40,40,342,0,47
1.52375E+12,359, /api/login/,200,OK,EventKit User 1-26,text,TRUE,,6206,140,40,40,357,0,48
1.52375E+12,359, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-26,,TRUE,,6206,140,40,40,357,0,48
1.52375E+12,375, /api/login/,200,OK,EventKit User 1-31,text,TRUE,,6206,140,40,40,373,0,45
1.52375E+12,375, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-31,,TRUE,,6206,140,40,40,373,0,45
1.52375E+12,399, /api/login/,200,OK,EventKit User 1-23,text,TRUE,,6204,140,40,40,397,0,49
1.52375E+12,399, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-23,,TRUE,,6204,140,40,40,397,0,49
1.52375E+12,426, /api/login/,200,OK,EventKit User 1-1,text,TRUE,,6204,140,40,40,423,0,60
1.52375E+12,426, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-1,,TRUE,,6204,140,40,40,423,1,60
1.52375E+12,446, /api/login/,200,OK,EventKit User 1-21,text,TRUE,,6206,140,40,40,441,0,50
1.52375E+12,446, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-21,,TRUE,,6206,140,40,40,441,0,50
1.52375E+12,477, /api/login/,200,OK,EventKit User 1-6,text,TRUE,,6202,140,40,40,475,0,58
1.52375E+12,477, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-6,,TRUE,,6202,140,40,40,475,0,58
1.52375E+12,507, /api/login/,200,OK,EventKit User 1-5,text,TRUE,,6204,140,40,40,504,0,59
1.52375E+12,507, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,TRUE,,6204,140,40,40,504,0,59
1.52375E+12,522, /api/login/,200,OK,EventKit User 1-22,text,TRUE,,6206,140,40,40,520,0,50
1.52375E+12,522, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-22,,TRUE,,6206,140,40,40,520,0,50
1.52375E+12,537, /api/login/,200,OK,EventKit User 1-29,text,TRUE,,6204,140,40,40,535,0,46
1.52375E+12,537, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-29,,TRUE,,6204,140,40,40,535,1,46
1.52375E+12,572, /api/login/,200,OK,EventKit User 1-16,text,TRUE,,6206,140,40,40,569,0,53
1.52375E+12,572, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-16,,TRUE,,6206,140,40,40,569,0,53
1.52375E+12,601, /api/login/,200,OK,EventKit User 1-4,text,TRUE,,6204,140,40,40,598,0,59
1.52375E+12,601, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-4,,TRUE,,6204,140,40,40,598,0,59
1.52375E+12,621, /api/login/,200,OK,EventKit User 1-15,text,TRUE,,6206,140,40,40,618,0,53
1.52375E+12,621, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-15,,TRUE,,6206,140,40,40,618,0,53
1.52375E+12,647, /api/login/,200,OK,EventKit User 1-11,text,TRUE,,6200,140,40,40,645,0,55
1.52375E+12,647, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-11,,TRUE,,6200,140,40,40,645,0,55
1.52375E+12,675, /api/login/,200,OK,EventKit User 1-20,text,TRUE,,6206,140,40,40,672,0,51
1.52375E+12,675, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-20,,TRUE,,6206,140,40,40,672,0,51
1.52375E+12,705, /api/login/,200,OK,EventKit User 1-28,text,TRUE,,6206,140,40,40,703,0,47
1.52375E+12,705, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-28,,TRUE,,6206,140,40,40,703,0,47
1.52375E+12,737, /api/login/,200,OK,EventKit User 1-36,text,TRUE,,6202,140,40,40,732,0,42
1.52375E+12,737, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-36,,TRUE,,6202,140,40,40,732,0,42
1.52375E+12,768, /api/login/,200,OK,EventKit User 1-24,text,TRUE,,6206,140,40,40,765,0,49
1.52375E+12,768, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-24,,TRUE,,6206,140,40,40,765,0,49
1.52375E+12,805, /api/login/,200,OK,EventKit User 1-14,text,TRUE,,6202,140,40,40,803,0,54
1.52375E+12,805, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-14,,TRUE,,6202,140,40,40,803,0,54
1.52375E+12,863, /api/login/,200,OK,EventKit User 1-13,text,TRUE,,6206,140,40,40,861,0,54
1.52375E+12,863, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-13,,TRUE,,6206,140,40,40,861,0,54
1.52375E+12,914, /api/login/,200,OK,EventKit User 1-8,text,TRUE,,6204,140,40,40,911,0,57
1.52375E+12,914, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-8,,TRUE,,6204,140,40,40,911,0,57
1.52375E+12,960, /api/login/,200,OK,EventKit User 1-33,text,TRUE,,6206,140,40,40,958,0,44
1.52375E+12,960, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-33,,TRUE,,6206,140,40,40,958,0,44
1.52375E+12,993, /api/login/,200,OK,EventKit User 1-12,text,TRUE,,6206,140,40,40,990,0,57
1.52375E+12,993, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-12,,TRUE,,6206,140,40,40,990,0,57
1.52375E+12,1049, /api/login/,200,OK,EventKit User 1-30,text,TRUE,,6206,140,40,40,1046,0,48
1.52375E+12,1049, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-30,,TRUE,,6206,140,40,40,1046,0,48
1.52375E+12,1100, /api/login/,200,OK,EventKit User 1-19,text,TRUE,,6206,140,40,40,1098,0,53
1.52375E+12,1100, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-19,,TRUE,,6206,140,40,40,1098,0,53
1.52375E+12,1139, /api/login/,200,OK,EventKit User 1-18,text,TRUE,,6206,140,40,40,1137,0,54
1.52375E+12,1139, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-18,,TRUE,,6206,140,40,40,1137,0,54
1.52375E+12,1196, /api/login/,200,OK,EventKit User 1-7,text,TRUE,,6204,140,40,40,1192,0,59
