timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1523888156018,323, /api/login/,200,OK,EventKit User 1-16,text,true,,6164,140,30,30,254,0,101
1523888156016,325, /api/login/,200,OK,EventKit User 1-19,text,true,,6168,140,30,30,248,0,104
1523888156019,322, /api/login/,200,OK,EventKit User 1-13,text,true,,6166,140,30,30,292,0,100
1523888156018,323, /api/login/,200,OK,EventKit User 1-11,text,true,,6168,140,30,30,246,0,102
1523888156019,322, /api/login/,200,OK,EventKit User 1-25,text,true,,6164,140,30,30,274,0,100
1523888156017,325, /api/login/,200,OK,EventKit User 1-17,text,true,,6168,140,30,30,247,0,103
1523888156017,325, /api/login/,200,OK,EventKit User 1-12,text,true,,6166,140,30,30,247,0,102
1523888156018,323, /api/login/,200,OK,EventKit User 1-3,text,true,,6166,140,30,30,309,0,102
1523888155954,323, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-3,,true,,6166,140,30,30,309,65,102
1523888155967,323, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-11,,true,,6168,140,30,30,246,52,102
1523888156018,324, /api/login/,200,OK,EventKit User 1-5,text,true,,6166,140,30,30,161,0,101
1523888155969,325, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-12,,true,,6166,140,30,30,247,49,102
1523888155978,325, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-17,,true,,6168,140,30,30,247,40,103
1523888155976,323, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-16,,true,,6164,140,30,30,254,44,101
1523888155956,324, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,true,,6166,140,30,30,161,63,101
1523888155987,322, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-25,,true,,6164,140,30,30,274,34,100
1523888155980,325, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-19,,true,,6168,140,30,30,248,38,104
