timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1524153868208,450, /api/login/,200,OK,EventKit User 1-43,text,true,,6206,140,50,50,445,0,301
1524153868208,450, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-43,,true,,6206,140,50,50,445,0,301
1524153868203,474, /api/login/,200,OK,EventKit User 1-27,text,true,,6206,140,50,50,473,0,306
1524153868203,474, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-27,,true,,6206,140,50,50,473,1,306
1524153868203,488, /api/login/,200,OK,EventKit User 1-29,text,true,,6206,140,50,50,487,0,306
1524153868203,488, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-29,,true,,6206,140,50,50,487,0,306
1524153868204,501, /api/login/,200,OK,EventKit User 1-31,text,true,,6200,140,50,50,500,0,305
1524153868204,501, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-31,,true,,6200,140,50,50,500,0,305
1524153868206,514, /api/login/,200,OK,EventKit User 1-38,text,true,,6206,140,50,50,513,0,305
1524153868206,514, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-38,,true,,6206,140,50,50,513,0,305
1524153868194,542, /api/login/,200,OK,EventKit User 1-9,text,true,,6204,140,50,50,541,0,317
1524153868194,542, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-9,,true,,6204,140,50,50,541,0,317
1524153868205,548, /api/login/,200,OK,EventKit User 1-33,text,true,,6206,140,50,50,547,0,306
1524153868205,548, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-33,,true,,6206,140,50,50,547,1,306
1524153868196,574, /api/login/,200,OK,EventKit User 1-15,text,true,,6206,140,50,50,570,0,315
1524153868196,574, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-15,,true,,6206,140,50,50,570,0,315
1524153868204,581, /api/login/,200,OK,EventKit User 1-30,text,true,,6204,140,50,50,577,0,307
1524153868204,581, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-30,,true,,6204,140,50,50,577,0,307
1524153868210,587, /api/login/,200,OK,EventKit User 1-48,text,true,,6206,140,50,50,586,0,301
1524153868209,587, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-48,,true,,6206,140,50,50,586,1,301
1524153868207,606, /api/login/,200,OK,EventKit User 1-41,text,true,,6206,140,50,50,605,0,304
1524153868207,606, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-41,,true,,6206,140,50,50,605,0,304
1524153868192,637, /api/login/,200,OK,EventKit User 1-4,text,true,,6200,140,50,50,635,0,319
1524153868192,637, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-4,,true,,6200,140,50,50,635,0,319
1524153868209,634, /api/login/,200,OK,EventKit User 1-46,text,true,,6206,140,50,50,632,0,302
1524153868209,634, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-46,,true,,6206,140,50,50,632,0,302
1524153868210,649, /api/login/,200,OK,EventKit User 1-49,text,true,,6206,140,50,50,648,0,301
1524153868210,649, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-49,,true,,6206,140,50,50,648,0,301
1524153868201,674, /api/login/,200,OK,EventKit User 1-22,text,true,,6206,140,50,50,673,0,310
1524153868201,674, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-22,,true,,6206,140,50,50,673,0,310
1524153868203,688, /api/login/,200,OK,EventKit User 1-28,text,true,,6204,140,50,50,686,0,308
1524153868203,688, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-28,,true,,6204,140,50,50,686,0,308
1524153868197,708, /api/login/,200,OK,EventKit User 1-17,text,true,,6204,140,50,50,706,0,314
1524153868197,708, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-17,,true,,6204,140,50,50,706,0,314
1524153868207,715, /api/login/,200,OK,EventKit User 1-39,text,true,,6204,140,50,50,713,0,304
1524153868207,715, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-39,,true,,6204,140,50,50,713,0,304
1524153868202,734, /api/login/,200,OK,EventKit User 1-23,text,true,,6206,140,50,50,733,0,309
1524153868201,734, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-23,,true,,6206,140,50,50,733,1,309
1524153868208,743, /api/login/,200,OK,EventKit User 1-42,text,true,,6206,140,50,50,742,0,303
1524153868208,743, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-42,,true,,6206,140,50,50,742,0,303
1524153868193,773, /api/login/,200,OK,EventKit User 1-6,text,true,,6202,140,50,50,772,0,320
1524153868193,773, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-6,,true,,6202,140,50,50,772,0,320
1524153868200,782, /api/login/,200,OK,EventKit User 1-20,text,true,,6206,140,50,50,781,0,313
1524153868198,782, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-20,,true,,6206,140,50,50,781,2,313
1524153868197,801, /api/login/,200,OK,EventKit User 1-16,text,true,,6202,140,50,50,800,0,314
1524153868197,801, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-16,,true,,6202,140,50,50,800,0,314
1524153868198,814, /api/login/,200,OK,EventKit User 1-19,text,true,,6204,140,50,50,812,0,315
1524153868198,814, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-19,,true,,6204,140,50,50,812,0,315
1524153868207,822, /api/login/,200,OK,EventKit User 1-40,text,true,,6202,140,50,50,820,0,306
1524153868207,822, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-40,,true,,6202,140,50,50,820,0,306
1524153868205,841, /api/login/,200,OK,EventKit User 1-35,text,true,,6202,140,50,50,838,0,306
1524153868205,841, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-35,,true,,6202,140,50,50,838,0,306
1524153868204,858, /api/login/,200,OK,EventKit User 1-32,text,true,,6206,140,50,50,854,0,307
1524153868204,858, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-32,,true,,6206,140,50,50,854,0,307
1524153868205,872, /api/login/,200,OK,EventKit User 1-34,text,true,,6204,140,50,50,867,0,306
1524153868205,872, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-34,,true,,6204,140,50,50,867,0,306
1524153868198,893, /api/login/,200,OK,EventKit User 1-18,text,true,,6206,140,50,50,891,0,315
1524153868198,893, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-18,,true,,6206,140,50,50,891,0,315
1524153868202,904, /api/login/,200,OK,EventKit User 1-25,text,true,,6204,140,50,50,902,0,311
1524153868202,904, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-25,,true,,6204,140,50,50,902,0,311
1524153868208,914, /api/login/,200,OK,EventKit User 1-44,text,true,,6204,140,50,50,910,0,305
1524153868208,914, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-44,,true,,6204,140,50,50,910,0,305
1524153868193,944, /api/login/,200,OK,EventKit User 1-5,text,true,,6204,140,50,50,943,0,320
1524153868192,944, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,true,,6204,140,50,50,943,1,320
1524153868201,950, /api/login/,200,OK,EventKit User 1-21,text,true,,6206,140,50,50,949,0,312
1524153868201,950, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-21,,true,,6206,140,50,50,949,0,312
1524153868195,974, /api/login/,200,OK,EventKit User 1-11,text,true,,6206,140,50,50,972,0,318
1524153868195,974, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-11,,true,,6206,140,50,50,972,1,318
1524153868195,989, /api/login/,200,OK,EventKit User 1-10,text,true,,6204,140,50,50,988,0,318
1524153868194,989, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-10,,true,,6204,140,50,50,988,1,318
1524153868210,991, /api/login/,200,OK,EventKit User 1-50,text,true,,6206,140,50,50,990,0,303
1524153868210,991, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-50,,true,,6206,140,50,50,990,0,303
1524153868202,1015, /api/login/,200,OK,EventKit User 1-26,text,true,,6206,140,50,50,1013,0,309
1524153868202,1015, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-26,,true,,6206,140,50,50,1013,0,309
1524153868194,1041, /api/login/,200,OK,EventKit User 1-8,text,true,,6204,140,50,50,1038,0,319
