timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1523864281419,288, /api/login/,200,OK,EventKit User 1-9,text,true,,6166,140,10,10,191,0,71
1523864281419,288, /api/login/,200,OK,EventKit User 1-1,text,true,,6166,140,10,10,140,0,71
1523864281419,288, /api/login/,200,OK,EventKit User 1-7,text,true,,6164,140,10,10,197,0,71
1523864281419,288, /api/login/,200,OK,EventKit User 1-8,text,true,,6164,140,10,10,130,0,71
1523864281419,288, /api/login/,200,OK,EventKit User 1-4,text,true,,6166,140,10,10,158,0,71
1523864281419,288, /api/login/,200,OK,EventKit User 1-10,text,true,,6168,140,10,10,209,0,71
1523864281420,288, /api/login/,200,OK,EventKit User 1-2,text,true,,6166,140,10,10,235,0,70
1523864281367,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-7,,true,,6164,140,10,10,197,53,71
1523864281372,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-10,,true,,6168,140,10,10,209,48,71
1523864281362,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-2,,true,,6166,140,10,10,235,59,70
1523864281419,288, /api/login/,200,OK,EventKit User 1-5,text,true,,6162,140,10,10,242,0,71
1523864281363,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,true,,6162,140,10,10,242,58,71
1523864281362,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-4,,true,,6166,140,10,10,158,59,71
1523864281371,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-9,,true,,6166,140,10,10,191,50,71
1523864281369,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-8,,true,,6164,140,10,10,130,53,71
1523864281362,288, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-1,,true,,6166,140,10,10,140,60,71
1523864281419,304, /api/login/,200,OK,EventKit User 1-6,text,true,,6166,140,10,10,292,0,71
1523864281419,305, /api/login/,200,OK,EventKit User 1-3,text,true,,6166,140,10,10,297,0,71
1523864281365,304, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-6,,true,,6166,140,10,10,292,55,71
1523864281363,305, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-3,,true,,6166,140,10,10,297,56,71
1523864281710,715, /api/login/?next=/api/docs,200,OK,EventKit User 1-9,text,true,,41675,1270,10,10,514,0,0
1523864281724,843, /api/login/?next=/api/docs,200,OK,EventKit User 1-3,text,true,,41661,1200,10,10,502,0,0
1523864281710,1010, /api/login/?next=/api/docs,200,OK,EventKit User 1-7,text,true,,41667,1214,10,10,505,0,0
1523864281710,1154, /api/login/?next=/api/docs,200,OK,EventKit User 1-2,text,true,,41677,1235,10,10,515,0,0
1523864281710,1316, /api/login/?next=/api/docs,200,OK,EventKit User 1-1,text,true,,41667,1256,10,10,521,0,0
1523864281710,1435, /api/login/?next=/api/docs,200,OK,EventKit User 1-5,text,true,,41661,1207,10,10,530,0,0
1523864281710,1597, /api/login/?next=/api/docs,200,OK,EventKit User 1-8,text,true,,41666,1256,10,10,530,0,0
1523864282426,1060, /api/docs,200,OK,EventKit User 1-9,text,true,,40594,283,10,10,1052,0,0
1523864281710,1996, /api/login/?next=/api/docs,200,OK,EventKit User 1-10,text,true,,41656,1242,10,10,541,0,0
1523864281710,2122, /api/login/?next=/api/docs,200,OK,EventKit User 1-4,text,true,,41654,1235,10,10,552,0,0
1523864281724,2257, /api/login/?next=/api/docs,200,OK,EventKit User 1-6,text,true,,41661,1207,10,10,530,0,0
1523864282721,1421, /api/docs,200,OK,EventKit User 1-7,text,true,,40586,283,10,10,1418,0,0
1523864283146,1151, /api/docs,200,OK,EventKit User 1-5,text,true,,40598,283,10,10,1146,0,0
1523864282568,1904, /api/docs,200,OK,EventKit User 1-3,text,true,,40600,283,10,10,1888,0,0
1523864282864,1721, /api/docs,200,OK,EventKit User 1-2,text,true,,40602,283,10,10,1715,0,0
1523864283027,1700, /api/docs,200,OK,EventKit User 1-1,text,true,,40608,283,10,10,1695,0,0
1523864283707,1216, /api/docs,200,OK,EventKit User 1-10,text,true,,40609,283,10,10,1186,0,12
1523864283308,1726, /api/docs,200,OK,EventKit User 1-8,text,true,,40607,283,10,10,1720,0,0
1523864284586,591, /api/formats,200,OK,EventKit User 1-2,text,true,,2789,365,10,10,590,0,17
1523864283486,1694, /api/formats,200,OK,EventKit User 1-9,text,true,,2790,365,10,10,1694,0,9
1523864283982,1204, /api/docs,200,OK,EventKit User 1-6,text,true,,40608,283,10,10,1188,0,8
1523864284142,1185, /api/formats,200,OK,EventKit User 1-7,text,true,,2788,365,10,10,1185,0,12
1523864283833,1497, /api/docs,200,OK,EventKit User 1-4,text,true,,40601,283,10,10,1484,0,7
1523864284298,1043, /api/formats,200,OK,EventKit User 1-5,text,true,,2788,365,10,10,1043,0,22
1523864284472,873, /api/formats,200,OK,EventKit User 1-3,text,true,,2790,365,10,10,872,0,20
1523864284924,463, /api/formats,200,OK,EventKit User 1-10,text,true,,2791,365,10,10,462,0,0
1523864285187,202, /api/formats,200,OK,EventKit User 1-6,text,true,,2789,365,10,10,201,0,0
1523864285035,367, /api/formats,200,OK,EventKit User 1-8,text,true,,2790,365,10,10,366,0,9
1523864284727,680, /api/formats,200,OK,EventKit User 1-1,text,true,,2790,365,10,10,680,0,11
1523864285331,153, /api/formats,200,OK,EventKit User 1-4,text,true,,2790,365,10,10,152,0,0
1523864285181,819, /api/jobs,206,Partial Content,EventKit User 1-9,text,true,,17829,392,10,10,810,0,0
1523864285178,827, /api/jobs,206,Partial Content,EventKit User 1-2,text,true,,17835,392,10,10,816,0,0
1523864285328,981, /api/jobs,206,Partial Content,EventKit User 1-7,text,true,,17820,392,10,10,970,0,0
1523864285345,965, /api/jobs,206,Partial Content,EventKit User 1-3,text,true,,17836,392,10,10,958,0,0
1523864285342,997, /api/jobs,206,Partial Content,EventKit User 1-5,text,true,,17834,392,10,10,983,0,0
1523864285408,943, /api/jobs,206,Partial Content,EventKit User 1-1,text,true,,17843,392,10,10,929,0,0
1523864285387,969, /api/jobs,206,Partial Content,EventKit User 1-10,text,true,,17844,392,10,10,967,0,0
1523864285389,970, /api/jobs,206,Partial Content,EventKit User 1-6,text,true,,17837,392,10,10,968,0,0
1523864285484,904, /api/jobs,206,Partial Content,EventKit User 1-4,text,true,,17836,392,10,10,902,0,0
1523864285402,989, /api/jobs,206,Partial Content,EventKit User 1-8,text,true,,17830,392,10,10,978,0,0
1523864286001,832, /api/jobs,202,Accepted,EventKit User 1-9,text,true,,24539,2876,10,10,779,0,11
1523864286006,827, /api/jobs,202,Accepted,EventKit User 1-2,text,true,,24560,2876,10,10,805,0,0
1523864286310,523, /api/jobs,202,Accepted,EventKit User 1-3,text,true,,24546,2876,10,10,512,0,0
1523864286357,512, /api/jobs,202,Accepted,EventKit User 1-10,text,true,,24555,2876,10,10,494,0,17
1523864286310,583, /api/jobs,202,Accepted,EventKit User 1-7,text,true,,24552,2876,10,10,570,0,17
1523864286351,542, /api/jobs,202,Accepted,EventKit User 1-1,text,true,,24553,2876,10,10,537,0,0
1523864286391,526, /api/jobs,202,Accepted,EventKit User 1-8,text,true,,24553,2876,10,10,523,0,0
1523864286359,564, /api/jobs,202,Accepted,EventKit User 1-6,text,true,,24560,2876,10,10,547,0,12
1523864286339,634, /api/jobs,202,Accepted,EventKit User 1-5,text,true,,24556,2876,10,10,592,0,14
1523864286388,629, /api/jobs,202,Accepted,EventKit User 1-4,text,true,,24560,2876,10,10,568,0,11
1523864297982,606,/api/runs?job_uid=297206f0-dff0-4dcc-8d6a-fcc02880b446,200,OK,EventKit User 1-1,text,true,,7218,534,10,10,605,0,10
1523864297982,606,/api/runs?job_uid=3780671c-a774-4222-bcf1-9730f362ce69,200,OK,EventKit User 1-8,text,true,,7218,534,10,10,605,0,8
1523864297982,627,/api/runs?job_uid=a901d8ef-37a0-474e-9451-38bacc2cbdf9,200,OK,EventKit User 1-2,text,true,,7217,534,10,10,623,0,10
1523864297982,627,/api/runs?job_uid=b96cf5ab-b949-41a4-b18d-8a887d86ecaf,200,OK,EventKit User 1-6,text,true,,7216,534,10,10,627,0,9
1523864297982,642,/api/runs?job_uid=a1118865-6274-471f-b734-fb9d24917276,200,OK,EventKit User 1-9,text,true,,7217,534,10,10,641,0,8
1523864297982,660,/api/runs?job_uid=d6137e9c-cc4c-4277-9227-9721d6e9031e,200,OK,EventKit User 1-3,text,true,,7221,534,10,10,657,0,10
1523864297982,660,/api/runs?job_uid=094090c2-8118-4242-9275-cc2f98fcbec8,200,OK,EventKit User 1-7,text,true,,7216,534,10,10,660,0,9
1523864297982,663,/api/runs?job_uid=0ae9a1de-f2ef-4cfb-bc52-e87a53d60aad,200,OK,EventKit User 1-10,text,true,,7219,534,10,10,663,0,10
1523864298034,619,/api/runs?job_uid=9eeea22a-2710-482f-9a67-8e14513260a3,200,OK,EventKit User 1-4,text,true,,7216,534,10,10,616,0,9
