timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535563716707,554, /api/login/,200,OK,EventKit User 1-10,text,true,,6042,140,50,50,517,0,341
1535563716704,557, /api/login/,200,OK,EventKit User 1-2,text,true,,6040,140,50,50,363,0,201
1535563716707,551, /api/login/,200,OK,EventKit User 1-22,text,true,,6040,140,50,50,425,0,241
1535563716706,555, /api/login/,200,OK,EventKit User 1-31,text,true,,6042,140,50,50,510,0,392
1535563716707,554, /api/login/,200,OK,EventKit User 1-45,text,true,,6040,140,50,50,475,0,234
1535563716704,554, /api/login/,200,OK,EventKit User 1-27,text,true,,6038,140,50,50,520,0,364
1535563716708,553, /api/login/,200,OK,EventKit User 1-47,text,true,,6042,140,50,50,433,0,225
1535563716706,554, /api/login/,200,OK,EventKit User 1-25,text,true,,6042,140,50,50,389,0,209
1535563716672,554, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-25,,true,,6042,140,50,50,389,36,209
1535563716649,554, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-10,,true,,6042,140,50,50,517,59,341
1535563716706,554, /api/login/,200,OK,EventKit User 1-41,text,true,,6042,140,50,50,430,0,254
1535563716704,556, /api/login/,200,OK,EventKit User 1-19,text,true,,6042,140,50,50,472,0,322
1535563716634,557, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-2,,true,,6040,140,50,50,363,71,201
1535563716692,554, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-41,,true,,6042,140,50,50,430,16,254
1535563716679,555, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-31,,true,,6042,140,50,50,510,28,392
1535563716665,556, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-19,,true,,6042,140,50,50,472,41,322
1535563716707,553, /api/login/,200,OK,EventKit User 1-44,text,true,,6042,140,50,50,475,0,226
1535563716669,551, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-22,,true,,6040,140,50,50,425,42,241
1535563716698,553, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-47,,true,,6042,140,50,50,433,12,225
1535563716705,555, /api/login/,200,OK,EventKit User 1-3,text,true,,6040,140,50,50,436,0,251
1535563716674,554, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-27,,true,,6038,140,50,50,520,34,364
1535563716695,553, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-44,,true,,6042,140,50,50,475,15,226
1535563716708,552, /api/login/,200,OK,EventKit User 1-8,text,true,,6040,140,50,50,516,0,375
1535563716635,555, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-3,,true,,6040,140,50,50,436,73,251
1535563716646,552, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-8,,true,,6040,140,50,50,516,65,375
1535563716696,554, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-45,,true,,6040,140,50,50,475,13,234
