timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1.52384E+12,319, /api/login/,200,OK,EventKit User 1-6,text,TRUE,,6166,140,10,10,239,0,84
1.52384E+12,318, /api/login/,200,OK,EventKit User 1-10,text,TRUE,,6168,140,10,10,168,0,84
1.52384E+12,318, /api/login/,200,OK,EventKit User 1-4,text,TRUE,,6166,140,10,10,289,0,84
1.52384E+12,318, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-10,,TRUE,,6168,140,10,10,168,45,84
1.52384E+12,319, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-6,,TRUE,,6166,140,10,10,239,51,84
1.52384E+12,320, /api/login/,200,OK,EventKit User 1-8,text,TRUE,,6166,140,10,10,264,0,84
1.52384E+12,318, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-4,,TRUE,,6166,140,10,10,289,52,84
1.52384E+12,320, /api/login/,200,OK,EventKit User 1-9,text,TRUE,,6164,140,10,10,147,0,84
1.52384E+12,320, /api/login/,200,OK,EventKit User 1-5,text,TRUE,,6166,140,10,10,153,0,84
1.52384E+12,320, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-8,,TRUE,,6166,140,10,10,264,46,84
1.52384E+12,320, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-9,,TRUE,,6164,140,10,10,147,44,84
1.52384E+12,319, /api/login/,200,OK,EventKit User 1-1,text,TRUE,,6166,140,10,10,186,0,84
1.52384E+12,320, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,TRUE,,6166,140,10,10,153,50,84
1.52384E+12,318, /api/login/,200,OK,EventKit User 1-2,text,TRUE,,6166,140,10,10,273,0,84
1.52384E+12,320, /api/login/,200,OK,EventKit User 1-3,text,TRUE,,6164,140,10,10,220,0,84
1.52384E+12,319, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-1,,TRUE,,6166,140,10,10,186,51,84
1.52384E+12,318, /api/login/,200,OK,EventKit User 1-7,text,TRUE,,6164,140,10,10,202,0,84
1.52384E+12,320, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-3,,TRUE,,6164,140,10,10,220,51,84
1.52384E+12,318, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-2,,TRUE,,6166,140,10,10,273,53,84
1.52384E+12,318, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-7,,TRUE,,6164,140,10,10,202,51,84
1.52384E+12,1010, /api/login/?next=/api/docs,200,OK,EventKit User 1-10,text,TRUE,,41669,1263,10,10,695,0,0
1.52384E+12,1118, /api/login/?next=/api/docs,200,OK,EventKit User 1-9,text,TRUE,,41661,1214,10,10,697,0,0
1.52384E+12,1276, /api/login/?next=/api/docs,200,OK,EventKit User 1-2,text,TRUE,,41668,1235,10,10,695,0,0
1.52384E+12,1418, /api/login/?next=/api/docs,200,OK,EventKit User 1-7,text,TRUE,,41668,1200,10,10,694,0,0
1.52384E+12,1577, /api/login/?next=/api/docs,200,OK,EventKit User 1-3,text,TRUE,,41662,1200,10,10,696,0,0
1.52384E+12,1723, /api/login/?next=/api/docs,200,OK,EventKit User 1-6,text,TRUE,,41655,1235,10,10,696,0,0
1.52384E+12,1864, /api/login/?next=/api/docs,200,OK,EventKit User 1-5,text,TRUE,,41655,1256,10,10,696,0,0
1.52384E+12,2002, /api/login/?next=/api/docs,200,OK,EventKit User 1-4,text,TRUE,,41683,1207,10,10,695,0,0
1.52384E+12,2155, /api/login/?next=/api/docs,200,OK,EventKit User 1-8,text,TRUE,,41670,1249,10,10,695,0,0
1.52384E+12,2296, /api/login/?next=/api/docs,200,OK,EventKit User 1-1,text,TRUE,,41661,1249,10,10,695,0,0
1.52384E+12,743, /api/docs,200,OK,EventKit User 1-6,text,TRUE,,40594,283,10,10,730,0,8
1.52384E+12,1591, /api/docs,200,OK,EventKit User 1-10,text,TRUE,,40609,283,10,10,1584,0,0
1.52384E+12,602, /api/docs,200,OK,EventKit User 1-8,text,TRUE,,40609,283,10,10,587,0,11
1.52384E+12,1456, /api/docs,200,OK,EventKit User 1-7,text,TRUE,,40599,283,10,10,1454,0,0
1.52384E+12,1962, /api/docs,200,OK,EventKit User 1-9,text,TRUE,,40594,283,10,10,1959,0,0
1.52384E+12,1940, /api/docs,200,OK,EventKit User 1-2,text,TRUE,,40601,283,10,10,1938,0,0
1.52384E+12,1375, /api/docs,200,OK,EventKit User 1-4,text,TRUE,,40608,283,10,10,1355,0,6
1.52384E+12,1673, /api/docs,200,OK,EventKit User 1-5,text,TRUE,,40602,283,10,10,1646,0,14
1.52384E+12,2059, /api/docs,200,OK,EventKit User 1-3,text,TRUE,,40608,283,10,10,2057,0,0
1.52384E+12,473, /api/formats,200,OK,EventKit User 1-4,text,TRUE,,2788,365,10,10,472,0,0
1.52384E+12,1560, /api/docs,200,OK,EventKit User 1-1,text,TRUE,,40594,283,10,10,1544,0,11
1.52384E+12,1400, /api/formats,200,OK,EventKit User 1-6,text,TRUE,,2790,365,10,10,1400,0,0
1.52384E+12,1111, /api/formats,200,OK,EventKit User 1-8,text,TRUE,,2790,365,10,10,1111,0,0
1.52384E+12,799, /api/formats,200,OK,EventKit User 1-9,text,TRUE,,2787,365,10,10,799,0,11
1.52384E+12,1282, /api/formats,200,OK,EventKit User 1-10,text,TRUE,,2791,365,10,10,1282,0,15
1.52384E+12,359, /api/formats,200,OK,EventKit User 1-5,text,TRUE,,2789,365,10,10,359,0,0
1.52384E+12,691, /api/formats,200,OK,EventKit User 1-2,text,TRUE,,2790,365,10,10,690,0,9
1.52384E+12,1036, /api/formats,200,OK,EventKit User 1-7,text,TRUE,,2790,365,10,10,1035,0,10
1.52384E+12,295, /api/formats,200,OK,EventKit User 1-3,text,TRUE,,2790,365,10,10,294,0,11
1.52384E+12,132, /api/formats,200,OK,EventKit User 1-1,text,TRUE,,2790,365,10,10,132,0,0
1.52384E+12,611, /api/jobs,206,Partial Content,EventKit User 1-8,text,TRUE,,17835,392,10,10,610,0,0
1.52384E+12,628, /api/jobs,206,Partial Content,EventKit User 1-9,text,TRUE,,17842,392,10,10,615,0,0
1.52384E+12,662, /api/jobs,206,Partial Content,EventKit User 1-4,text,TRUE,,17843,392,10,10,662,0,0
1.52384E+12,606, /api/jobs,206,Partial Content,EventKit User 1-2,text,TRUE,,17843,392,10,10,596,0,0
1.52384E+12,690, /api/jobs,206,Partial Content,EventKit User 1-6,text,TRUE,,17843,392,10,10,678,0,12
1.52384E+12,785, /api/jobs,206,Partial Content,EventKit User 1-7,text,TRUE,,17843,392,10,10,773,0,0
1.52384E+12,870, /api/jobs,206,Partial Content,EventKit User 1-5,text,TRUE,,17843,392,10,10,859,0,17
1.52384E+12,919, /api/jobs,206,Partial Content,EventKit User 1-3,text,TRUE,,17836,392,10,10,910,0,0
1.52384E+12,988, /api/jobs,206,Partial Content,EventKit User 1-10,text,TRUE,,17837,392,10,10,978,0,0
1.52384E+12,883, /api/jobs,206,Partial Content,EventKit User 1-1,text,TRUE,,17835,392,10,10,882,0,0
1.52384E+12,836, /api/jobs,202,Accepted,EventKit User 1-2,text,TRUE,,24476,2837,10,10,797,0,0
1.52384E+12,839, /api/jobs,202,Accepted,EventKit User 1-4,text,TRUE,,24482,2837,10,10,786,0,11
1.52384E+12,796, /api/jobs,202,Accepted,EventKit User 1-6,text,TRUE,,24482,2837,10,10,748,0,0
1.52384E+12,658, /api/jobs,202,Accepted,EventKit User 1-7,text,TRUE,,24482,2837,10,10,654,0,0
1.52384E+12,872, /api/jobs,202,Accepted,EventKit User 1-8,text,TRUE,,24475,2837,10,10,821,0,7
1.52384E+12,845, /api/jobs,202,Accepted,EventKit User 1-9,text,TRUE,,24478,2837,10,10,824,0,0
1.52384E+12,620, /api/jobs,202,Accepted,EventKit User 1-5,text,TRUE,,24467,2837,10,10,618,0,0
1.52384E+12,554, /api/jobs,202,Accepted,EventKit User 1-3,text,TRUE,,24482,2837,10,10,552,0,0
1.52384E+12,566, /api/jobs,202,Accepted,EventKit User 1-1,text,TRUE,,24475,2837,10,10,555,0,10
1.52384E+12,582, /api/jobs,202,Accepted,EventKit User 1-10,text,TRUE,,24477,2837,10,10,570,0,10
1.52384E+12,437,/api/runs?job_uid=6eba89a7-7729-4ed9-8c8b-0791d23426d1,200,OK,EventKit User 1-2,text,TRUE,,7218,534,10,10,436,0,13
1.52384E+12,579,/api/runs?job_uid=ba05c52f-89b2-47c5-a812-92faa8b9fc25,200,OK,EventKit User 1-1,text,TRUE,,7216,534,10,10,576,0,12
1.52384E+12,581,/api/runs?job_uid=aa072a5b-1457-4c29-8cbc-6d977c742a05,200,OK,EventKit User 1-6,text,TRUE,,7217,534,10,10,580,0,14
1.52384E+12,588,/api/runs?job_uid=ddcfac8a-fcc8-4dce-bc87-960669c87b30,200,OK,EventKit User 1-10,text,TRUE,,7219,534,10,10,587,0,13
1.52384E+12,604,/api/runs?job_uid=eaa28456-015c-4255-a018-19a08c3591de,200,OK,EventKit User 1-4,text,TRUE,,7219,534,10,10,602,0,12
1.52384E+12,612,/api/runs?job_uid=df6fef3c-c679-4e99-ab2d-d6cc88e4c53f,200,OK,EventKit User 1-7,text,TRUE,,7221,534,10,10,608,0,12
